Date,Price,Open,High,Low,Vol.,Change %
05/06/2024,1406.34,1393.74,1406.34,1391.34,,0.90%
05/05/2024,1393.74,1382.5,1393.74,1382.5,,0.81%
05/03/2024,1382.5,1372.95,1409.42,1372.95,,2.41%
05/02/2024,1349.9,1390.52,1397.26,1350.9,,-2.81%
05/01/2024,1389,1390,1394.26,1390,,0.00%
04/30/2024,1389,1415,1415,1365,,2.51%
04/29/2024,1355,1380,1390,1356,,1.92%
04/26/2024,1329.44,1278.03,1385,1278.03,,4.10%
04/25/2024,1277.03,1350,1400,1278.015,,2.08%
04/24/2024,1251.05,1231,1345,1231,,1.71%
04/23/2024,1230,1275,1310,1216,,0.00%
04/22/2024,1230,1115,1255.5,1003,,22.75%
04/19/2024,1002,1148.53,1350,1002,,-12.68%
04/18/2024,1147.53,1161.71,1177.855,1137.265,,-1.14%
04/17/2024,1160.71,1160,1172.855,1115,,2.00%
04/16/2024,1138,1151,1190,1139,,-1.04%
04/15/2024,1150,1190,1190,1143.5,,0.00%
04/12/2024,1150,1247.17,1263.085,1151,,-7.72%
04/11/2024,1246.17,1247.17,1247.17,1247.05,,1.31%
04/10/2024,1230,1247.17,1247.17,1235,,-1.30%
04/09/2024,1246.17,1231,1247.17,1231,,1.31%
04/08/2024,1230,1245.5,1295,1220.5,,-1.17%
04/05/2024,1244.5,1350,1354.995,1237,,-7.81%
04/04/2024,1350,1350,1365,1251,,0.00%
04/03/2024,1350,1281,1365,1230,,5.47%
04/02/2024,1280,1304.34,1450,1266,,-1.79%
04/01/2024,1303.34,1304.34,1304.34,1304.34,,0.03%
03/29/2024,1303,1416.13,1416.13,1304.17,,-7.92%
03/28/2024,1415.13,1416.13,1420.065,1290,,0.00%
03/27/2024,1415.13,1405.97,1550.5,1285.5,,0.79%
03/26/2024,1404,1448.89,1577,1275.5,,-3.03%
03/25/2024,1447.89,1448.89,1661,1375.5,,0.00%
03/22/2024,1447.89,1410.94,1661,1325.5,,2.69%
03/21/2024,1409.94,1562.19,1562.19,1300.5,,-9.69%
03/20/2024,1561.19,1477.25,1573.5,1420.5,,5.75%
03/19/2024,1476.25,1573.01,1573.505,1477.25,,-6.09%
03/18/2024,1572.01,1610.74,1610.74,1400.25,,-2.34%
03/15/2024,1609.74,1591.5,1611.87,1570.25,,1.21%
03/14/2024,1590.5,1594.5,1594.955,1585.5,,-0.15%
03/13/2024,1592.91,1612.78,1612.78,1580.25,,-1.17%
03/12/2024,1611.78,1625.23,1625.23,1575.25,,-0.77%
03/11/2024,1624.23,1594.34,1625.23,1531,,1.94%
03/08/2024,1593.34,1590.14,1594.34,1505.5,,0.26%
03/07/2024,1589.14,1591.17,1595.5,1580.25,,-0.06%
03/06/2024,1590.17,1561.01,1592.585,1560.5,,1.93%
03/05/2024,1560.01,1544.58,1561.01,1500.5,,1.06%
03/04/2024,1543.58,1544.58,1544.58,1380.5,,-0.09%
03/01/2024,1545,1617.55,1617.55,1300.5,,-4.43%
02/29/2024,1616.55,1630.66,1630.66,1300.5,,-0.80%
02/28/2024,1629.66,1579.08,1630.66,1507.5,,3.27%
02/27/2024,1578.08,1506.85,1662.85,1506.425,,4.80%
02/26/2024,1505.85,1489.4,1560.5,1489.4,,1.17%
02/23/2024,1488.4,1489.4,1607,1470.5,,0.00%
02/22/2024,1488.4,1606.32,1607.16,1489.4,,-7.26%
02/21/2024,1605,1606.3,1680.75,1420.5,,0.00%
02/20/2024,1605,1493.73,1607.65,1490.5,,7.52%
02/19/2024,1492.73,1493.73,1531,1250.75,,0.00%
02/16/2024,1492.73,1517.2,1530.75,1493.365,,-1.55%
02/15/2024,1516.2,1515.59,1518.6,1449.5,,0.11%
02/14/2024,1514.59,1515.59,1516.795,1449.5,,0.00%
02/13/2024,1514.59,1481.98,1517.295,1449.5,,0.97%
02/12/2024,1500,1474.62,1503.75,1250.75,,1.79%
02/09/2024,1473.62,1445.06,1474.62,1250.5,,2.05%
02/08/2024,1444.06,1418.13,1445.06,1250.5,,1.90%
02/07/2024,1417.13,1408,1418.13,1408,,0.72%
02/06/2024,1407,1421.02,1421.02,1250.5,,-0.92%
02/05/2024,1420.02,1414.12,1421.02,1100.5,,0.49%
02/02/2024,1413.12,1357.38,1414.12,950.5,,4.18%
02/01/2024,1356.38,1192.94,1358.7,1100.5,,13.80%
01/31/2024,1191.94,1100.5,1192.94,1100.5,,8.36%
01/30/2024,1100,892.05,1250.75,892.05,,23.45%
01/29/2024,891.05,899.2,911,892.05,,-0.80%
01/26/2024,898.2,887.39,901.5,887.39,,1.33%
01/25/2024,886.39,900.27,900.98,887.39,,-1.43%
01/24/2024,899.27,914.56,914.56,870.5,,-1.56%
01/23/2024,913.56,891.01,914.56,849.5,,2.65%
01/22/2024,890.01,891.04,911,891.005,,0.00%
01/19/2024,890.04,895.52,910.75,860.5,,-0.50%
01/18/2024,894.52,859.06,910.75,859.06,,4.26%
01/17/2024,858,853.77,910.75,853.77,,0.61%
01/16/2024,852.77,865.99,910.75,853.77,,-1.41%
01/15/2024,864.99,865.99,879.68,865.99,,-9.61%
01/12/2024,957,958.05,959.025,958.025,,-0.01%
01/11/2024,957.05,951.49,959.025,951.245,,0.69%
01/10/2024,950.49,952.5,952.745,951.245,,4.11%
01/09/2024,913,885.2,914.5,885.2,,0.00%
01/08/2024,913,914.43,914.715,884.5,,0.00%
01/05/2024,913,912.44,914.715,884.5,,0.17%
01/04/2024,911.44,891.9,912.44,884.5,,2.31%
01/03/2024,890.9,884.8,891.9,884.4,,0.89%
01/02/2024,883,882.03,897.5,882.03,,0.22%
01/01/2024,881.03,882.03,882.03,882.03,,0.00%
12/29/2023,881.03,896.61,897.805,882.03,,-1.63%
12/28/2023,895.61,885,905.5,885,,1.31%
12/27/2023,884,905.1,906.05,884.5,,-2.22%
12/26/2023,904.1,904.1,906.05,904.05,,-0.05%
12/25/2023,904.57,903.89,904.72,903.89,,-0.09%
12/22/2023,905.39,903,906.39,903,,0.38%
12/21/2023,902,825,903,825,,9.47%
12/20/2023,824,825,825,825,,0.00%
12/19/2023,824,825,825,825,,4.44%
12/18/2023,789,790,790,790,,0.00%
12/15/2023,789,791,802.5,789.5,,-0.13%
12/14/2023,790,803,803.5,789.5,,-1.50%
12/13/2023,802,802.42,803.5,789.5,,0.07%
12/12/2023,801.45,791,803.225,789.5,,1.45%
12/11/2023,790,791,802.5,789.5,,0.00%
12/08/2023,790,801,802.5,789.5,,-1.25%
12/07/2023,800,802,803,789.5,,-0.12%
12/06/2023,801,802,802,802,,0.00%
12/05/2023,801,799,819.5,789.5,,0.38%
12/04/2023,798,789,799.5,789,,1.27%
12/01/2023,788,790.5,790.5,788.5,,-0.25%
11/30/2023,790,793.5,793.5,789.5,,-0.38%
11/29/2023,793,789.5,793.5,789.5,,0.51%
11/28/2023,789,799.5,806.5,789.5,,-1.25%
11/27/2023,799,789.5,806.5,789.5,,-0.62%
11/24/2023,804,804.39,806.5,804.39,,0.01%
11/23/2023,803.89,804.39,804.39,804.39,,0.00%
11/22/2023,803.89,816.6,816.6,804.39,,-1.50%
11/21/2023,816.1,820.18,821.84,816.6,,-0.44%
11/20/2023,819.68,840.04,845.5,819.84,,-2.37%
11/17/2023,839.54,827.34,845.5,827.34,,1.54%
11/16/2023,826.84,843.58,845.54,827.34,,-1.93%
11/15/2023,843.08,843.58,846,843.54,,-0.22%
11/14/2023,844.94,844.94,845.44,845.44,,5.35%
11/13/2023,802,803,803,803,,0.00%
11/10/2023,802,803,803,803,,0.00%
11/09/2023,802,803.3,803.4,802.9,,-0.10%
11/08/2023,802.8,786.59,806.5,786.59,,2.13%
11/07/2023,786.09,799.7,806.5,786.59,,-1.64%
11/06/2023,799.2,806.77,807.135,789.5,,-0.88%
11/03/2023,806.27,815.51,815.51,806.135,,2.45%
11/02/2023,787,787.5,788.5,787.5,,0.00%
11/01/2023,787,787.5,789.5,786.5,,0.25%
10/31/2023,785,786.48,786.99,785.99,,-0.12%
10/30/2023,785.98,790.5,795,785.99,,-0.51%
10/27/2023,790,802.7,802.7,789.5,,-1.52%
10/26/2023,802.2,795.43,802.7,788.5,,0.91%
10/25/2023,794.93,795.43,795.465,789.5,,0.00%
10/24/2023,794.93,883.5,883.5,795.43,,-9.97%
10/23/2023,883,859.73,884.5,859.115,,2.77%
10/20/2023,859.23,859.73,861.115,859.115,,12.46%
10/19/2023,764,774.94,774.94,766,,-1.35%
10/18/2023,774.44,764.74,774.94,764.62,,1.33%
10/17/2023,764.24,765.43,767.465,764.62,,-0.09%
10/16/2023,764.93,770.01,775.5,765.43,,-0.60%
10/13/2023,769.51,768.6,775.5,768.6,,0.20%
10/12/2023,768,759.99,769.05,759.99,,1.12%
10/11/2023,759.49,763.53,775.5,759.99,,-0.46%
10/10/2023,763.03,759.21,776.5,759.21,,0.57%
10/09/2023,758.71,772.04,772.04,759.21,,-1.66%
10/06/2023,771.54,762.04,772.04,762.04,,1.31%
10/05/2023,761.54,747.11,770.5,747.11,,2.00%
10/04/2023,746.61,766.95,770.5,747.1,,-2.59%
10/03/2023,766.45,766.97,798.5,766.95,,0.00%
10/02/2023,766.47,769.55,771.025,766.97,,-0.20%
09/29/2023,768,778.1,781.5,768.8,,-1.23%
09/28/2023,777.6,778.1,798.5,778.1,,0.00%
09/27/2023,777.6,779.55,781.525,777.8,,-0.19%
09/26/2023,779.05,779.55,781.525,779.525,,0.00%
09/25/2023,779.05,784.5,784.5,756.96,,1.51%
09/22/2023,767.43,767.93,767.93,767.93,,0.00%
09/21/2023,767.43,770.77,776.5,767.93,,-0.37%
09/20/2023,770.27,775.83,784.5,770.77,,-0.65%
09/19/2023,775.33,760.43,789.5,760.43,,2.03%
09/18/2023,759.93,768.24,789.5,760.43,,-1.02%
09/15/2023,767.74,768.69,789.5,768.24,,-1.95%
09/14/2023,783,746.68,784.5,746.68,,4.93%
09/13/2023,746.18,770.83,770.83,744.5,,-3.14%
09/12/2023,770.33,738.04,770.83,738.04,,4.45%
09/11/2023,737.54,750.5,755,738.04,,-6.52%
09/08/2023,789,785.03,789.5,785.03,,0.57%
09/07/2023,784.53,754.36,785.03,754.36,,4.19%
09/06/2023,753,761.03,761.03,753.93,,-0.99%
09/05/2023,760.53,757.02,765.5,744.5,,0.53%
09/04/2023,756.52,757.02,757.02,757.02,,0.00%
09/01/2023,756.52,773.5,775.5,738.5,,-2.13%
08/31/2023,773,773.5,774.5,773.5,,0.00%
08/30/2023,773,772.47,784.5,740.5,,0.13%
08/29/2023,771.97,774.4,774.4,760.5,,-0.25%
08/28/2023,773.9,772.34,774.4,771.34,,0.40%
08/25/2023,770.84,755.71,774.5,740.5,,2.20%
08/24/2023,754.21,756.77,773.5,755.105,,-0.14%
08/23/2023,755.27,762.29,762.29,756.77,,-0.73%
08/22/2023,760.79,745.14,769.5,745.14,,2.31%
08/21/2023,743.64,746.43,769.5,745.14,,-0.17%
08/18/2023,744.93,767.97,769.5,746.43,,-2.81%
08/17/2023,766.47,785.89,785.89,761.5,,-2.28%
08/16/2023,784.39,760.5,785.89,760.5,,3.35%
08/15/2023,759,766.4,766.4,755.5,,-0.91%
08/14/2023,766,769.27,770.385,766.4,,-0.23%
08/11/2023,767.77,769.27,769.27,769.27,,0.00%
08/10/2023,767.77,769.27,769.27,769.27,,0.00%
08/09/2023,767.77,762.94,769.27,762.94,,0.83%
08/08/2023,761.44,751.12,762.94,751.12,,1.58%
08/07/2023,749.62,767.45,787.5,751.12,,-2.13%
08/04/2023,765.95,777.5,778,767.45,,-1.42%
08/03/2023,777,776.36,792.5,760.5,,0.00%
08/02/2023,777,758.52,778.5,752.5,,2.64%
08/01/2023,757.02,760.4,771.55,745.5,,-0.25%
07/31/2023,758.9,775.78,792.5,759.95,,-1.99%
07/28/2023,774.28,775.5,790,775.5,,0.04%
07/27/2023,774,789.42,790,764.5,,-1.77%
07/26/2023,787.92,793.32,793.32,789.42,,-0.49%
07/25/2023,791.82,793.32,793.32,780.5,,0.00%
07/24/2023,791.82,776,793.41,776,,2.24%
07/21/2023,774.5,791.01,792.5,775.25,,-1.90%
07/20/2023,789.51,782.81,791.5,775.5,,1.05%
07/19/2023,781.31,773.31,799.5,773.31,,-0.85%
07/18/2023,788,776.17,791.3,773.31,,1.72%
07/17/2023,774.67,776.5,776.5,775.5,,-0.04%
07/14/2023,775,777.5,777.5,776.5,,-0.13%
07/13/2023,776,776.5,799.5,776.5,,0.13%
07/12/2023,775,780.5,790.5,760,,-0.51%
07/11/2023,779,787.65,790.5,760.5,,-1.27%
07/10/2023,789,768.5,790,768.5,,2.73%
07/07/2023,768,775.5,776,765.5,,-0.78%
07/06/2023,774,773.5,776,765.5,,0.26%
07/05/2023,772,771.38,776.5,771.38,,0.28%
07/04/2023,769.88,770.5,775.5,765.5,,0.00%
07/03/2023,769.88,760.27,775.5,756.5,,1.46%
06/30/2023,758.77,754.44,775.5,753.97,,0.77%
06/29/2023,752.94,754.45,754.975,753.97,,0.00%
06/28/2023,752.95,764.55,764.55,753.975,,-1.32%
06/27/2023,763.05,743.75,765.525,743.75,,2.80%
06/26/2023,742.25,761.5,770.5,743.75,,-2.34%
06/23/2023,760,760,765.5,733.29,,2.01%
06/22/2023,745,746.5,752,730.5,,0.00%
06/21/2023,745,690.5,750,690.5,,8.13%
06/20/2023,689,680,691,680,,0.30%
06/19/2023,686.96,656.5,687.46,650.5,,4.88%
06/16/2023,655,620.5,665.5,590.95,,5.56%
06/15/2023,620.5,620.2,659,600.5,,0.05%
06/14/2023,620.2,462.88,665,462.88,,34.13%
06/13/2023,462.38,462.4,474.5,462.38,,0.10%
06/12/2023,461.9,462.4,462.45,462.4,,0.00%
06/09/2023,461.9,462.17,466,462.17,,0.05%
06/08/2023,461.67,461.68,466,461.68,,0.11%
06/07/2023,461.18,461.68,474.5,461.65,,0.00%
06/06/2023,461.18,461.55,466,461.52,,0.03%
06/05/2023,461.05,461.42,464.5,460.5,,0.03%
06/02/2023,460.92,461.26,461.42,461.25,,0.03%
06/01/2023,460.76,461.1,465.5,461.1,,0.03%
05/31/2023,460.6,460.95,461.1,460.95,,0.03%
05/30/2023,460.45,460.75,464.5,460.71,,0.04%
05/29/2023,460.25,460.75,460.75,460.75,,-0.01%
05/26/2023,460.3,460.81,460.81,460.8,,0.00%
05/25/2023,460.31,460.78,464.5,460.75,,0.01%
05/24/2023,460.28,460.78,465.5,460.5,,0.00%
05/23/2023,460.28,460.81,460.81,460.78,,-0.01%
05/22/2023,460.31,460.84,463.5,460.81,,-0.01%
05/19/2023,460.34,460.86,463.5,460.84,,0.00%
05/18/2023,460.36,460.7,460.86,460.7,,0.03%
05/17/2023,460.2,460.57,460.7,460.57,,0.03%
05/16/2023,460.07,460.53,460.57,460.5,,0.01%
05/15/2023,460.03,460.53,462.5,460.52,,0.00%
05/12/2023,460.03,460.57,460.57,460.53,,-0.01%
05/11/2023,460.07,460.56,462.5,460.55,,0.00%
05/10/2023,460.06,460.44,460.56,460.43,,0.03%
05/09/2023,459.94,460.5,460.52,460.44,,-0.01%
05/08/2023,460,460.37,461.5,460.35,,0.03%
05/05/2023,459.87,460.34,460.37,460.33,,0.01%
05/04/2023,459.84,460.35,460.35,460.32,,0.00%
05/03/2023,459.85,460.31,460.35,460.3,,0.01%
05/02/2023,459.81,460.37,460.5,460.31,,-0.01%
05/01/2023,459.87,460.47,460.48,460.37,,-0.02%
04/28/2023,459.97,460.47,460.5,460.45,,0.00%
04/27/2023,459.97,460.47,460.5,460.45,,0.00%
04/26/2023,459.97,460.53,460.53,460.47,,-0.01%
04/25/2023,460.03,460.53,460.53,460.52,,0.00%
04/24/2023,460.03,460.53,460.53,459.97,,0.00%
04/21/2023,460.03,460.53,460.54,460.53,,0.00%
04/20/2023,460.03,460.53,460.53,460.52,,0.00%
04/19/2023,460.03,460.41,460.53,460.32,,0.03%
04/18/2023,459.91,460.42,460.42,460.41,,0.00%
04/17/2023,459.92,460.43,460.5,460.42,,0.00%
04/14/2023,459.93,460.43,460.43,460.42,,0.00%
04/13/2023,459.93,460.33,460.43,460.32,,0.02%
04/12/2023,459.83,460.33,460.33,460.33,,0.00%
04/11/2023,459.83,460.33,460.5,460.33,,0.00%
04/10/2023,459.83,460.33,460.33,460.32,,0.00%
04/07/2023,459.83,460.33,460.33,460.33,,0.00%
04/06/2023,459.83,460.36,460.36,460.33,,-0.01%
04/05/2023,459.86,460.33,460.36,460.32,,0.01%
04/04/2023,459.83,460.33,460.33,460.32,,0.00%
04/03/2023,459.83,460.34,460.35,460.32,,0.00%
03/31/2023,459.84,460.35,460.35,460.34,,0.00%
03/30/2023,459.85,460.32,460.35,460.29,,0.01%
03/29/2023,459.82,460.35,460.4,460.32,,-0.01%
03/28/2023,459.85,460.4,460.41,460.35,,-0.01%
03/27/2023,459.9,460.48,460.5,460.4,,-0.02%
